Time	CPU	Memory	Temperature
Fri Jan 12 11:05:36 2024	3.740000	71.992790	57.452000
Fri Jan 12 11:05:38 2024	4.060000	71.992790	56.478001
Fri Jan 12 11:05:40 2024	13.000000	72.277527	56.965000
Fri Jan 12 11:05:42 2024	34.170000	73.685349	58.912998
Fri Jan 12 11:05:44 2024	39.750000	74.541412	59.400002
Fri Jan 12 11:05:46 2024	65.650000	75.072983	59.400002
Fri Jan 12 11:05:48 2024	21.280000	75.150841	58.912998
Fri Jan 12 11:05:50 2024	61.380000	75.710220	59.887001
Fri Jan 12 11:05:52 2024	20.200000	75.723190	60.374001
Fri Jan 12 11:05:54 2024	20.300000	76.112450	60.374001
Fri Jan 12 11:05:56 2024	62.280000	76.423859	60.861000
Fri Jan 12 11:05:58 2024	71.500000	76.458977	60.861000
Fri Jan 12 11:06:00 2024	58.310000	76.738663	61.348000
Fri Jan 12 11:06:02 2024	76.900000	76.918877	61.348000
Fri Jan 12 11:06:04 2024	58.190000	76.702110	62.321999
Fri Jan 12 11:06:06 2024	45.660000	76.613235	63.296001
Fri Jan 12 11:06:08 2024	54.640000	76.759773	63.296001
Fri Jan 12 11:06:10 2024	44.580000	76.895706	62.808998
Fri Jan 12 11:06:12 2024	59.900000	76.678833	63.296001
Fri Jan 12 11:06:14 2024	59.180000	76.863274	64.269997
Fri Jan 12 11:06:16 2024	52.310000	76.471848	63.296001
Fri Jan 12 11:06:18 2024	16.580000	76.209976	62.808998
Fri Jan 12 11:06:20 2024	11.970000	76.097008	61.834999
Fri Jan 12 11:06:22 2024	6.530000	75.863144	60.861000
Fri Jan 12 11:06:24 2024	22.610000	72.932159	60.374001
Fri Jan 12 11:06:26 2024	2.250000	72.821869	59.887001
Fri Jan 12 11:06:28 2024	3.220000	72.854309	58.425999
Fri Jan 12 11:06:30 2024	19.000000	72.931030	59.887001
Fri Jan 12 11:06:32 2024	17.880000	73.553947	59.887001
