Time	CPU_Usage	Memory_Usage	CPU_Temperature
Wed Dec 20 17:50:40 2023	0.640835	0.902213	44.303001
Wed Dec 20 17:51:00 2023	0.639868	0.902259	43.816002
Wed Dec 20 17:51:20 2023	0.638943	0.902259	44.790001
Wed Dec 20 17:51:40 2023	0.638002	0.902259	42.355000
Wed Dec 20 17:52:00 2023	0.637043	0.902288	43.328999
Wed Dec 20 17:52:20 2023	0.636088	0.903128	42.355000
Wed Dec 20 17:52:40 2023	0.635136	0.903063	42.841999
Wed Dec 20 17:53:00 2023	0.634187	0.903063	43.328999
Wed Dec 20 17:53:20 2023	0.633201	0.902998	42.841999
Wed Dec 20 17:53:40 2023	0.632258	0.902933	41.868000
