Time	CPU	Memory	Temperature
Thu Dec 21 16:06:56 2023	0.857352	17.149860	52.582001
Thu Dec 21 16:06:57 2023	0.857216	17.136885	51.608002
Thu Dec 21 16:06:58 2023	0.857080	17.136885	52.095001
Thu Dec 21 16:06:59 2023	0.857023	17.136885	51.608002
Thu Dec 21 16:07:00 2023	0.856927	17.136885	51.120998
Thu Dec 21 16:07:01 2023	0.856831	17.136679	51.120998
Thu Dec 21 16:07:02 2023	0.856734	17.136679	51.608002
Thu Dec 21 16:07:03 2023	0.856599	17.136679	51.608002
Thu Dec 21 16:07:04 2023	0.856502	17.136679	50.146999
Thu Dec 21 16:07:05 2023	0.856406	17.136473	51.608002
Thu Dec 21 16:07:06 2023	0.856310	17.136473	51.120998
Thu Dec 21 16:07:07 2023	0.856175	17.136473	51.608002
Thu Dec 21 16:07:08 2023	0.856039	17.136473	51.120998
Thu Dec 21 16:07:09 2023	0.855903	17.136473	51.120998
Thu Dec 21 16:07:10 2023	0.855768	17.136473	51.120998
Thu Dec 21 16:07:11 2023	0.855633	17.136473	51.120998
Thu Dec 21 16:07:12 2023	0.855536	17.136473	50.146999
Thu Dec 21 16:07:13 2023	0.855401	17.136267	51.120998
Thu Dec 21 16:07:14 2023	0.855266	17.136267	50.146999
Thu Dec 21 16:07:15 2023	0.855169	17.136267	51.120998
Thu Dec 21 16:07:49 2023	0.869577	17.592772	50.633999
Thu Dec 21 16:07:50 2023	0.869795	17.592772	51.608002
Thu Dec 21 16:07:51 2023	0.869698	17.599258	51.120998
Thu Dec 21 16:07:52 2023	0.869679	17.599258	52.095001
Thu Dec 21 16:07:53 2023	0.869582	17.599052	51.608002
Thu Dec 21 16:07:54 2023	0.869524	17.605539	51.608002
Thu Dec 21 16:07:55 2023	0.869543	17.605539	51.120998
Thu Dec 21 16:07:56 2023	0.869878	17.605642	50.633999
Thu Dec 21 16:07:57 2023	0.869897	17.605232	51.120998
Thu Dec 21 16:07:58 2023	0.870035	17.605232	52.095001
Thu Dec 21 16:07:59 2023	0.872531	18.182632	52.582001
Thu Dec 21 16:08:00 2023	0.874242	18.584867	51.120998
Thu Dec 21 16:08:01 2023	0.874342	18.584867	52.582001
Thu Dec 21 16:08:02 2023	0.876604	18.798754	53.069000
Thu Dec 21 16:08:03 2023	0.879296	19.084005	53.069000
Thu Dec 21 16:08:04 2023	0.886184	19.296347	53.069000
Thu Dec 21 16:08:05 2023	0.888167	19.252581	53.556000
Thu Dec 21 16:08:06 2023	0.888342	18.703499	53.069000
Thu Dec 21 16:08:07 2023	0.888281	18.656540	52.582001
Thu Dec 21 16:08:08 2023	0.888690	18.561285	53.556000
Thu Dec 21 16:24:33 2023	0.974974	18.321447	50.633999
Thu Dec 21 16:24:34 2023	0.974842	18.317741	51.120998
Thu Dec 21 16:24:35 2023	0.974709	18.317741	51.120998
Thu Dec 21 16:24:36 2023	0.974610	18.317741	52.095001
Thu Dec 21 16:24:37 2023	0.974478	18.317741	51.608002
Thu Dec 21 16:24:38 2023	0.974346	18.317741	51.120998
Thu Dec 21 16:24:39 2023	0.974248	18.317741	51.608002
Thu Dec 21 16:24:40 2023	0.974115	18.317741	51.120998
Thu Dec 21 16:24:41 2023	0.974016	18.317638	51.120998
Thu Dec 21 16:24:42 2023	0.973918	18.317638	51.120998
Thu Dec 21 16:24:43 2023	0.973854	18.317432	51.608002
Thu Dec 21 16:24:44 2023	0.973790	18.317432	51.120998
Thu Dec 21 16:24:45 2023	0.973658	18.317432	50.633999
Thu Dec 21 16:24:46 2023	0.973628	18.298380	51.120998
Thu Dec 21 16:24:47 2023	0.973496	18.297865	51.608002
Thu Dec 21 16:24:48 2023	0.973364	18.297865	51.608002
Thu Dec 21 16:24:49 2023	0.973267	18.297865	50.633999
Thu Dec 21 16:24:50 2023	0.973575	18.297865	51.608002
Thu Dec 21 16:24:51 2023	0.973613	18.297865	50.633999
Thu Dec 21 16:24:52 2023	0.973481	18.297865	51.120998
