Time	CPU	Memory	Temperature
Fri Jan  5 14:55:01 2024	3.856438	58.332981	51.608002
Fri Jan  5 14:55:02 2024	3.855095	58.330921	51.120998
Fri Jan  5 14:55:03 2024	3.853756	58.330921	52.582001
Fri Jan  5 14:55:04 2024	3.852586	58.285507	51.608002
Fri Jan  5 14:55:05 2024	3.851249	58.285507	52.095001
Fri Jan  5 14:55:06 2024	3.859911	59.089977	52.095001
Fri Jan  5 14:55:07 2024	3.869264	59.336716	53.069000
Fri Jan  5 14:55:08 2024	3.879241	59.750175	52.582001
Fri Jan  5 14:55:09 2024	3.884855	59.782200	54.042999
Fri Jan  5 14:55:10 2024	3.891848	58.456760	53.556000
Fri Jan  5 14:55:11 2024	3.890848	58.443890	52.582001
Fri Jan  5 14:55:12 2024	3.889678	58.443787	53.069000
Fri Jan  5 14:55:13 2024	3.894313	58.815643	54.042999
Fri Jan  5 14:55:14 2024	3.901723	59.390984	54.042999
Fri Jan  5 14:55:15 2024	3.915119	59.649151	54.529999
Fri Jan  5 14:55:16 2024	3.918461	59.736477	53.556000
Fri Jan  5 14:55:17 2024	3.925252	60.859459	54.529999
Fri Jan  5 14:55:18 2024	3.931260	61.673508	54.042999
Fri Jan  5 14:55:19 2024	3.934860	62.494556	54.529999
Fri Jan  5 14:55:20 2024	3.937056	62.603096	55.016998
Fri Jan  5 14:55:21 2024	3.943312	62.472210	54.529999
Fri Jan  5 14:55:22 2024	3.949219	62.492290	54.529999
Fri Jan  5 14:55:23 2024	3.955715	62.530289	54.529999
Fri Jan  5 14:55:24 2024	3.961444	62.513504	55.016998
Fri Jan  5 14:55:25 2024	3.966903	62.489922	54.042999
Fri Jan  5 14:55:26 2024	3.972361	62.473549	55.991001
Fri Jan  5 14:55:27 2024	3.977995	62.474373	55.991001
Fri Jan  5 14:55:28 2024	3.985962	62.529568	55.504002
Fri Jan  5 14:55:29 2024	3.991764	62.526169	55.504002
Fri Jan  5 14:55:31 2024	3.997741	62.574055	55.991001
Fri Jan  5 14:55:32 2024	4.003696	62.759930	55.504002
Fri Jan  5 14:55:33 2024	4.011978	62.592487	55.504002
Fri Jan  5 14:55:34 2024	4.020426	62.610920	55.504002
Fri Jan  5 14:55:35 2024	4.027570	62.583221	56.965000
Fri Jan  5 14:55:36 2024	4.033246	62.632957	55.991001
