Time	CPU	Memory	Temperature
Tue Jan  2 12:27:50 2024	1.955239	36.246597	49.660000
Tue Jan  2 12:27:52 2024	1.954456	36.243919	50.633999
Tue Jan  2 12:27:54 2024	1.953381	36.243919	49.173000
Tue Jan  2 12:27:56 2024	1.952891	36.243919	48.686001
Tue Jan  2 12:27:58 2024	1.967391	37.500050	50.633999
Tue Jan  2 12:28:00 2024	1.970936	37.729591	51.120998
Tue Jan  2 12:28:02 2024	1.969781	37.729591	49.660000
Tue Jan  2 12:28:04 2024	1.970687	37.581406	50.146999
Tue Jan  2 12:28:06 2024	1.977599	37.923088	52.095001
Tue Jan  2 12:28:08 2024	1.978123	37.930294	50.146999
Tue Jan  2 12:28:10 2024	1.978651	37.790760	52.095001
Tue Jan  2 12:28:12 2024	1.985100	38.058403	51.608002
Tue Jan  2 12:28:14 2024	1.984014	38.058094	51.608002
Tue Jan  2 12:28:16 2024	1.987388	36.357506	51.120998
Tue Jan  2 12:28:18 2024	1.986228	36.357506	50.633999
Tue Jan  2 12:28:20 2024	1.985142	36.170700	50.146999
Tue Jan  2 12:28:22 2024	1.983984	36.170700	49.660000
Tue Jan  2 12:28:24 2024	1.982900	36.170700	49.173000
Tue Jan  2 12:28:26 2024	1.981890	36.170700	49.660000
Tue Jan  2 12:28:28 2024	1.980737	36.170700	50.146999
Tue Jan  2 12:28:30 2024	1.979877	36.170700	50.633999
Tue Jan  2 12:28:32 2024	1.979167	36.170700	49.660000
Tue Jan  2 12:28:34 2024	1.978310	36.170700	49.660000
Tue Jan  2 12:28:36 2024	1.977890	36.170700	49.660000
Tue Jan  2 12:28:38 2024	1.977470	36.170700	49.660000
Tue Jan  2 12:28:40 2024	1.976541	36.170700	49.660000
Tue Jan  2 12:28:42 2024	1.975470	36.170700	48.686001
Tue Jan  2 12:28:44 2024	1.974977	36.183678	49.173000
Tue Jan  2 12:28:46 2024	1.974773	36.183678	49.660000
Tue Jan  2 12:28:48 2024	1.973629	36.183678	49.173000
Tue Jan  2 12:28:50 2024	1.972632	36.183678	49.173000
Tue Jan  2 12:28:52 2024	1.971850	36.183678	48.199001
Tue Jan  2 12:28:54 2024	1.970856	36.183678	49.660000
Tue Jan  2 12:28:56 2024	1.969790	36.183678	48.686001
Tue Jan  2 12:28:58 2024	1.968652	36.183678	49.173000
Tue Jan  2 12:29:00 2024	1.968095	36.183678	48.686001
Tue Jan  2 12:29:02 2024	1.967686	36.179867	49.173000
Tue Jan  2 12:29:04 2024	1.966842	36.177189	48.199001
Tue Jan  2 12:29:06 2024	1.966070	36.177189	48.199001
Tue Jan  2 12:29:08 2024	1.965304	36.183678	49.660000
